denominazione_provincia,data,denominazione_regione,totale_casi
Sondrio,2020-03-05,Lombardia,4
Ragusa,2020-03-05,Sicilia,0
Rovigo,2020-03-05,Veneto,5
Piacenza,2020-03-06,Emilia-Romagna,426
Ravenna,2020-03-06,Emilia-Romagna,8
Gorizia,2020-03-06,Friuli Venezia Giulia,6
Trieste,2020-03-06,Friuli Venezia Giulia,7
Pordenone,2020-03-06,Friuli Venezia Giulia,0
Sondrio,2020-03-06,Lombardia,4
Ragusa,2020-03-06,Sicilia,1
Rovigo,2020-03-06,Veneto,5
Piacenza,2020-03-07,Emilia-Romagna,479
Ravenna,2020-03-07,Emilia-Romagna,10
Gorizia,2020-03-07,Friuli Venezia Giulia,6
Trieste,2020-03-07,Friuli Venezia Giulia,11
Pordenone,2020-03-07,Friuli Venezia Giulia,2
Sondrio,2020-03-07,Lombardia,6
Ragusa,2020-03-07,Sicilia,1
Rovigo,2020-03-07,Veneto,5
Piacenza,2020-03-08,Emilia-Romagna,528
Ravenna,2020-03-08,Emilia-Romagna,13
Gorizia,2020-03-08,Friuli Venezia Giulia,6
Trieste,2020-03-08,Friuli Venezia Giulia,25
Pordenone,2020-03-08,Friuli Venezia Giulia,2
Sondrio,2020-03-08,Lombardia,6
Ragusa,2020-03-08,Sicilia,1
Rovigo,2020-03-08,Veneto,5
Piacenza,2020-03-09,Emilia-Romagna,602
Ravenna,2020-03-09,Emilia-Romagna,19
Gorizia,2020-03-09,Friuli Venezia Giulia,6
Trieste,2020-03-09,Friuli Venezia Giulia,25
Pordenone,2020-03-09,Friuli Venezia Giulia,2
Sondrio,2020-03-09,Lombardia,7
Ragusa,2020-03-09,Sicilia,1
Rovigo,2020-03-09,Veneto,7
Piacenza,2020-03-10,Emilia-Romagna,633
Ravenna,2020-03-10,Emilia-Romagna,24
Gorizia,2020-03-10,Friuli Venezia Giulia,10
Trieste,2020-03-10,Friuli Venezia Giulia,53
Pordenone,2020-03-10,Friuli Venezia Giulia,4
Sondrio,2020-03-10,Lombardia,7
Ragusa,2020-03-10,Sicilia,1
Rovigo,2020-03-10,Veneto,10
Piacenza,2020-03-11,Emilia-Romagna,664
Ravenna,2020-03-11,Emilia-Romagna,31
Gorizia,2020-03-11,Friuli Venezia Giulia,12
Trieste,2020-03-11,Friuli Venezia Giulia,57
Pordenone,2020-03-11,Friuli Venezia Giulia,13
Sondrio,2020-03-11,Lombardia,13
Ragusa,2020-03-11,Sicilia,1
Rovigo,2020-03-11,Veneto,14
Piacenza,2020-03-12,Emilia-Romagna,679
Ravenna,2020-03-12,Emilia-Romagna,41
Gorizia,2020-03-12,Friuli Venezia Giulia,12
Trieste,2020-03-12,Friuli Venezia Giulia,57
Pordenone,2020-03-12,Friuli Venezia Giulia,13
Sondrio,2020-03-12,Lombardia,23
Ragusa,2020-03-12,Sicilia,2
Rovigo,2020-03-12,Veneto,13
Piacenza,2020-03-13,Emilia-Romagna,710
Ravenna,2020-03-13,Emilia-Romagna,55
Gorizia,2020-03-13,Friuli Venezia Giulia,20
Trieste,2020-03-13,Friuli Venezia Giulia,131
Pordenone,2020-03-13,Friuli Venezia Giulia,31
Sondrio,2020-03-13,Lombardia,23
Ragusa,2020-03-13,Sicilia,2
Rovigo,2020-03-13,Veneto,16
Piacenza,2020-03-14,Emilia-Romagna,853
Ravenna,2020-03-14,Emilia-Romagna,78
Gorizia,2020-03-14,Friuli Venezia Giulia,20
Trieste,2020-03-14,Friuli Venezia Giulia,148
Pordenone,2020-03-14,Friuli Venezia Giulia,45
