,NOME_COMUNE,DATA,TOTALE
141654,Alzano Lombardo,2018-12-21,1
141660,Alzano Lombardo,2016-12-23,3
141689,Alzano Lombardo,2015-12-25,1
141690,Alzano Lombardo,2016-12-25,1
141691,Alzano Lombardo,2019-12-25,1
141697,Alzano Lombardo,2017-11-16,3
141698,Alzano Lombardo,2018-11-03,2
141699,Alzano Lombardo,2017-10-30,1
141705,Alzano Lombardo,2015-10-01,1
141706,Alzano Lombardo,2017-10-01,1
141707,Alzano Lombardo,2019-10-01,1
257714,Alzano Lombardo,2016-12-09,1
257715,Alzano Lombardo,2017-12-09,1
257716,Alzano Lombardo,2019-12-09,1
257719,Alzano Lombardo,2017-12-18,1
257720,Alzano Lombardo,2019-12-18,1
257724,Alzano Lombardo,2016-12-31,1
257725,Alzano Lombardo,2019-12-31,1
257735,Alzano Lombardo,2019-11-15,2
257738,Alzano Lombardo,2017-12-15,1
257739,Alzano Lombardo,2019-12-15,1
257748,Alzano Lombardo,2015-11-13,1
257749,Alzano Lombardo,2018-11-13,1
257750,Alzano Lombardo,2015-10-26,1
257751,Alzano Lombardo,2016-10-26,1
257752,Alzano Lombardo,2019-10-26,1
257757,Alzano Lombardo,2015-11-25,1
257758,Alzano Lombardo,2019-11-25,1
257769,Alzano Lombardo,2016-12-11,2
257770,Alzano Lombardo,2017-12-11,2
257771,Alzano Lombardo,2015-10-22,1
257772,Alzano Lombardo,2016-10-22,1
257774,Alzano Lombardo,2016-11-02,1
257775,Alzano Lombardo,2017-11-02,1
257776,Alzano Lombardo,2018-11-09,1
257793,Alzano Lombardo,2015-12-02,1
257794,Alzano Lombardo,2016-12-02,1
257802,Alzano Lombardo,2015-11-01,2
257812,Alzano Lombardo,2016-10-19,1
257813,Alzano Lombardo,2019-10-19,2
257814,Alzano Lombardo,2016-10-25,1
257815,Alzano Lombardo,2019-10-25,1
257816,Alzano Lombardo,2018-11-08,1
257817,Alzano Lombardo,2019-11-08,1
257818,Alzano Lombardo,2017-11-10,1
257819,Alzano Lombardo,2018-11-10,1
257821,Alzano Lombardo,2017-12-16,1
257822,Alzano Lombardo,2019-12-16,1
257834,Alzano Lombardo,2015-10-11,1
257835,Alzano Lombardo,2016-10-11,1
257838,Alzano Lombardo,2016-10-16,1
257839,Alzano Lombardo,2016-10-18,1
257854,Alzano Lombardo,2015-12-26,1
257855,Alzano Lombardo,2016-12-26,1
257867,Alzano Lombardo,2019-10-05,1
257868,Alzano Lombardo,2016-11-04,2
257870,Alzano Lombardo,2015-11-11,1
257871,Alzano Lombardo,2018-11-11,1
456879,Alzano Lombardo,2016-11-17,1
456882,Alzano Lombardo,2016-10-28,1
456883,Alzano Lombardo,2017-11-14,1
456889,Alzano Lombardo,2016-12-27,1
456943,Alzano Lombardo,2017-11-06,1
456944,Alzano Lombardo,2018-11-06,1
456947,Alzano Lombardo,2018-10-06,1
456951,Alzano Lombardo,2015-12-07,1
456952,Alzano Lombardo,2018-12-04,1
456953,Alzano Lombardo,2019-12-04,1
456955,Alzano Lombardo,2018-10-31,1
456956,Alzano Lombardo,2019-10-31,1
456957,Alzano Lombardo,2017-11-12,1
456961,Alzano Lombardo,2018-12-17,1
456962,Alzano Lombardo,2015-10-27,1
456963,Alzano Lombardo,2017-10-12,3
456964,Alzano Lombardo,2017-10-21,1
456965,Alzano Lombardo,2019-11-26,1
456966,Alzano Lombardo,2018-11-21,1
457026,Alzano Lombardo,2015-12-19,1
457028,Alzano Lombardo,2017-11-29,1
457041,Alzano Lombardo,2017-10-10,1
457059,Alzano Lombardo,2017-12-22,1
457071,Alzano Lombardo,2019-10-09,1
457072,Alzano Lombardo,2016-11-24,2
457076,Alzano Lombardo,2016-12-03,1
457082,Alzano Lombardo,2015-12-20,1
457083,Alzano Lombardo,2016-12-20,1
457084,Alzano Lombardo,2019-12-20,1
457085,Alzano Lombardo,2018-12-14,1
457086,Alzano Lombardo,2016-12-06,1
1227554,Alzano Lombardo,2015-08-14,1
1227555,Alzano Lombardo,2016-08-14,1
1227557,Alzano Lombardo,2018-08-05,1
1227558,Alzano Lombardo,2019-08-05,1
